,date,quarter,price,shares_est,lev,market_cap
0,2012-12-28,2012Q4,27.0,6800000.0,0.3750392106933539,183600000000
1,2013-03-29,2013Q1,27.0,6799912.538761231,0.483863568379949,183597638547
2,2013-06-28,2013Q2,25.7,6799945.498518241,0.239030079407199,174758599312
3,2013-09-27,2013Q3,22.6,6800042.847961151,0.179182379677252,153680968364
4,2013-12-31,2013Q4,26.8,6799909.3073347695,0.2905176820939255,182237569437
5,2014-03-31,2014Q1,28.7,6800035.913090321,0.3870691010035993,195161030706
6,2014-06-30,2014Q2,29.2,6799879.14951471,0.296496429631684,198556471166
7,2014-09-30,2014Q3,24.9,6799948.096244393,0.2115354018668171,169318707596
8,2014-12-31,2014Q4,30.0,6799967.147139748,0.3164156663181757,203999014414
9,2015-03-31,2015Q1,28.8,6799923.400995787,0.5193587320872599,195837793949
10,2015-06-30,2015Q2,26.0,6799905.488422331,0.2911416446765719,176797542699
11,2015-09-30,2015Q3,38.6,6799938.013327135,0.1900861218632961,262477607314
12,2015-12-31,2015Q4,51.5,6800048.048872568,0.2456472979724301,350202474517
13,2016-03-31,2016Q1,68.5,6800033.194102515,0.4039088254027429,465802273796
14,2016-06-30,2016Q2,121.1,6800030.286969031,0.3389163012572321,823483667752
15,2016-09-30,2016Q3,149.4,6800030.286969031,0.3389163012572321,1015924524873
16,2016-12-30,2016Q4,87.4,8160013.493759137,0.3436362312970929,713185179355
17,2017-03-31,2017Q1,130.2,8160013.493759137,0.3436362312970929,1062433756887
18,2017-06-30,2017Q2,175.0,8160056.497175141,0.4669651069849534,1428009887006
19,2017-09-29,2017Q3,178.9,8159899.181921097,0.5124223041027909,1459805963646
20,2017-12-29,2017Q4,176.0,8159933.999805882,0.5461407397351933,1436148383966
21,2018-03-30,2018Q1,82.6,8159965.089458263,0.6041823318285635,674013116389
22,2018-06-29,2018Q2,78.6,8159972.01655687,0.5987221149897964,641373800501
23,2018-09-28,2018Q3,63.5,9792024.5398773,0.6448678076734347,621793558282
24,2018-12-28,2018Q4,50.2,9792018.183307396,0.6598018008196849,491559312802
25,2019-03-29,2019Q1,54.0,9791871.70388378,0.5817146833914845,528761072010
26,2019-06-28,2019Q2,37.5,9791906.090953866,0.5610519880616776,367196478411
27,2019-09-30,2019Q3,41.3,9791993.991433734,0.6237250345369837,404409351846
28,2019-12-31,2019Q4,42.4,9791869.097127754,0.612854695760622,415175249718
29,2020-03-31,2020Q1,41.0,9792020.405832414,0.5565358317256737,401472836639
30,2020-06-30,2020Q2,49.5,9791970.58291639,0.5686387494866965,484702543854
31,2020-09-30,2020Q3,76.9,9791952.83882784,0.5753952524353874,753001173306
32,2020-12-31,2020Q4,71.8,9791874.517870918,0.4934792570658927,703056590383
33,2021-03-31,2021Q1,125.0,9792018.159027,0.4413160690708242,1224002269878
34,2021-06-30,2021Q2,126.7,9791875.847411044,0.4700790879153438,1240630669867
35,2021-09-30,2021Q3,172.4,9791985.569304427,0.532031201734431,1688138312148
36,2021-12-31,2021Q4,156.5,9791916.390851894,0.4494177152847395,1532434915168
37,2022-03-31,2022Q1,154.3,9791921.472252386,0.3854919219266643,1510893483169
38,2022-06-30,2022Q2,126.0,9791929.169979814,0.4247115481868984,1233783075417
