,timestamp,delta_volume,date,note
0,1265648400,2669391,2010-02-09,"Niêm yết cổ phiếu bổ sung - 2,669,391 CP"
1,1266771600,2669391,2010-02-22,"Giao dịch bổ sung - 2,669,391 CP"
2,1276794000,4678339,2010-06-18,"Niêm yết cổ phiếu bổ sung - 4,678,339 CP"
3,1277658000,4678339,2010-06-28,"Giao dịch bổ sung - 4,678,339 CP"
4,1287075600,4524270,2010-10-15,"Niêm yết cổ phiếu bổ sung - 4,524,270 CP"
5,1287075600,4524270,2010-10-15,"Niêm yết cổ phiếu bổ sung - 4,524,270 CP"
6,1311613200,4524270,2011-07-26,"Giao dịch bổ sung - 4,524,270 CP"
7,1342112400,3509839,2012-07-13,"Niêm yết cổ phiếu bổ sung - 3,509,839 CP"
8,1343062800,3509839,2012-07-24,"Giao dịch bổ sung - 3,509,839 CP"
9,1422205200,13703458,2015-01-26,"Niêm yết cổ phiếu bổ sung - 13,703,458 CP"
10,1422810000,13703458,2015-02-02,"Giao dịch bổ sung - 13,703,458 CP"
11,1483894800,3965727,2017-01-09,"Niêm yết cổ phiếu bổ sung - 3,965,727 CP"
12,1533142800,5352341,2018-08-02,"Niêm yết cổ phiếu bổ sung - 5,352,341 CP"
13,1533834000,5352341,2018-08-10,"Giao dịch bổ sung - 5,352,341 CP"
14,1562778000,7493173,2019-07-11,"Niêm yết cổ phiếu bổ sung - 7,493,173 CP"
15,1593622800,8591397,2020-07-02,"Niêm yết cổ phiếu bổ sung - 8,591,397 CP"
16,1594227600,8591397,2020-07-09,"Giao dịch bổ sung - 8,591,397 CP"
17,1627491600,16628037,2021-07-29,"Niêm yết cổ phiếu bổ sung - 16,628,037 CP"
18,1628442000,16628037,2021-08-09,"Giao dịch bổ sung - 16,628,037 CP"
19,1635872400,3325790,2021-11-03,"Niêm yết cổ phiếu bổ sung - 3,325,790 CP"
20,1657472400,21616029,2022-07-11,"Niêm yết cổ phiếu bổ sung - 21,616,029 CP"
21,1658077200,21616029,2022-07-18,"Giao dịch bổ sung - 21,616,029 CP"
22,1661706000,609608,2022-08-29,"Giao dịch bổ sung - 609,608 CP"
23,1724864400,2716182,2024-08-29,"Giao dịch bổ sung - 2,716,182 CP"
