,Quý,Doanh thu thuần(MilVND),LN gộp(MilVND),LN thuần từ HĐKD(MilVND),LNST thu nhập DN(MilVND),LNST của CĐ cty mẹ(MilVND),Tài sản ngắn hạn(MilVND),Tổng cộng tài sản(MilVND),Nợ phải trả(MilVND),Nợ ngắn hạn(MilVND),Vốn chủ sở hữu(MilVND),Lợi ích CĐ thiểu số(MilVND),EPS của 4 quý gần nhất(VND),BVPS cơ bản(VND),P/E cơ bản(Times),ROS(%),ROEA(%),ROAA(%)
0,2015Q1,245425.0,63219.0,0.0,11875.0,11875.0,1473188.0,2135801.0,1585262.0,1532014.0,550539.0,0.0,237.0,11011.0,0.0,4.84,0.0,0.0
1,2016Q1,310233.0,93619.0,0.0,33750.0,33996.0,1728370.0,2276465.0,1684874.0,1634077.0,591591.0,0.0,680.0,11832.0,0.0,10.88,0.0,0.0
2,2016Q3,425916.0,71643.0,,14700.0,14691.0,2388143.0,3050366.0,2465221.0,2415197.0,585145.0,,974.0,11703.0,0.0,3.45,0.0,0.0
3,2016Q4,356038.0,129828.0,0.0,7460.0,7435.0,2382533.0,2950873.0,2096898.0,2044252.0,853975.0,0.0,702.0,10675.0,0.0,2.1,0.0,0.0
4,2017Q1,337155.0,67054.0,0.0,16106.0,16094.0,2398540.0,3013645.0,2151701.0,2105392.0,861944.0,0.0,478.0,10774.0,0.0,4.78,2.09,0.6
5,2017Q2,419868.0,119008.0,0.0,43068.0,43068.0,2725487.0,3285552.0,2380539.0,2334619.0,905013.0,0.0,1016.0,11313.0,12.3,10.26,1.99,0.55
6,2017Q3,430129.0,83036.0,0.0,6030.0,6068.0,2337507.0,3404840.0,2493716.0,2451507.0,911125.0,0.0,908.0,11389.0,14.42,1.4,1.97,0.53
7,2017Q4,420297.0,26672.0,0.0,-20851.0,-20800.0,2246892.0,3016135.0,2125861.0,2075105.0,890274.0,0.0,555.0,11128.0,21.61,-4.96,4.98,1.4
8,2018Q1,367098.0,62817.0,0.0,12017.0,12019.0,2342138.0,3187528.0,2285237.0,2246395.0,902290.0,0.0,504.0,11279.0,26.17,3.27,4.47,1.25
9,2018Q2,368712.0,118562.0,0.0,61619.0,61922.0,2584307.0,3495240.0,2535446.0,2498118.0,959794.0,0.0,740.0,11997.0,18.92,16.71,6.46,1.81
10,2018Q3,406168.0,41243.0,0.0,5250.0,5250.0,2654654.0,3622898.0,2662564.0,2628762.0,960334.0,0.0,730.0,12004.0,17.54,1.29,6.29,1.75
11,2018Q4,495209.0,144648.0,0.0,28199.0,28199.0,2562223.0,3675784.0,2687251.0,2642913.0,988533.0,0.0,1335.0,11768.0,9.74,5.69,11.27,3.07
12,2019Q1,395029.0,86531.0,0.0,29612.0,29612.0,3744332.0,4408847.0,3390827.0,3353421.0,1018020.0,0.0,1525.0,7831.0,8.98,7.5,12.73,3.29
13,2019Q2,395957.0,103492.0,0.0,58629.0,58629.0,3967872.0,4658865.0,3232702.0,3190558.0,1426163.0,0.0,1291.0,10970.0,9.91,14.81,11.08,2.97
14,2019Q3,413018.0,84897.0,0.0,27143.0,27143.0,3882564.0,4633680.0,3180304.0,3135204.0,1453375.0,0.0,1339.0,11180.0,8.81,6.57,11.75,3.31
15,2019Q4,644485.0,115858.0,0.0,26306.0,26306.0,4355819.0,4969860.0,3490178.0,3415853.0,1479682.0,0.0,1182.0,11382.0,9.31,4.08,10.54,3.04
16,2020Q1,498879.0,75641.0,0.0,28268.0,28268.0,4432425.0,5122656.0,3614700.0,3561356.0,1507956.0,0.0,1080.0,11600.0,8.34,5.67,9.57,2.9
17,2020Q2,528608.0,90998.0,0.0,51271.0,51271.0,4445048.0,5205197.0,3783540.0,3725874.0,1421657.0,0.0,1023.0,10936.0,9.58,9.7,3.5,0.99
18,2020Q3,566611.0,86537.0,0.0,17539.0,17539.0,4425476.0,5288670.0,3849475.0,3784662.0,1439195.0,0.0,949.0,11071.0,10.75,3.1,1.35,0.33
19,2020Q4,805170.0,181355.0,,95906.0,95906.0,4111341.0,5523113.0,3988011.0,3900998.0,1535102.0,,1484.0,11808.0,10.71,11.91,7.38,1.77
20,2021Q1,620529.0,98641.0,,37376.0,37376.0,4114247.0,5587008.0,4014532.0,3939986.0,1572476.0,,1555.0,12096.0,10.61,6.02,2.88,0.67
21,2021Q2,675137.0,135834.0,,78665.0,78665.0,4248054.0,5930178.0,4290671.0,4152534.0,1639506.0,,1765.0,12612.0,10.65,11.65,5.76,1.37
22,2021Q3,556798.0,98157.0,,32559.0,32559.0,4542321.0,6354442.0,4682409.0,4540164.0,1672033.0,,1836.0,11693.0,14.03,5.85,2.28,0.53
23,2021Q4,818053.0,161409.0,,75808.0,75808.0,5661286.0,6595158.0,4847317.0,4740231.0,1747841.0,,1641.0,12223.0,14.53,9.27,5.3,1.17
24,2022Q1,821205.0,139377.0,,67970.0,67970.0,6272201.0,7277478.0,5462223.0,5377550.0,1815255.0,,1827.0,12694.0,14.45,8.28,4.75,0.98
25,2022Q2,834868.0,102802.0,,16924.0,16924.0,6052020.0,8096205.0,6277456.0,6177524.0,1818749.0,,1352.0,11060.0,17.79,2.03,1.18,0.22
